Pipeline,Category,Precision,Recall,F1,Support,TP,FP,FN
gpt_oss_large,theme_transportation,0.0,0.0,0.0,6,0,7,6
gpt_oss_small,theme_agriculture,0.0,0.0,0.0,2,0,0,2
gpt_oss_small,theme_culture_nationalism,0.0,0.0,0.0,3,0,2,3
gpt_oss_small,theme_defense,0.0,0.0,0.0,3,0,1,3
gpt_oss_small,theme_domestic_commerce,0.022388059701492536,0.42857142857142855,0.0425531914893617,7,3,131,4
gpt_oss_small,theme_education,0.0,0.0,0.0,3,0,1,3
gpt_oss_small,theme_energy,0.0,0.0,0.0,7,0,1,7
gpt_oss_small,theme_environment,0.0,0.0,0.0,12,0,0,12
gpt_oss_small,theme_foreign_trade,0.0,0.0,0.0,6,0,0,6
gpt_oss_small,theme_governments_governance,0.0,0.0,0.0,40,0,0,40
gpt_oss_small,theme_health,0.064,0.5333333333333333,0.11428571428571431,15,8,117,7
gpt_oss_small,theme_housing,0.0,0.0,0.0,13,0,0,13
gpt_oss_small,theme_immigration,0.0,0.0,0.0,3,0,0,3
gpt_oss_small,theme_indigenous_affairs,0.0,0.0,0.0,0,0,0,0
gpt_oss_small,theme_international_affairs,0.0,0.0,0.0,25,0,0,25
gpt_oss_small,theme_labor,0.0,0.0,0.0,7,0,0,7
gpt_oss_small,theme_law_and_crime,0.0,0.0,0.0,15,0,0,15
gpt_oss_small,theme_macroeconomics,0.0,0.0,0.0,28,0,1,28
gpt_oss_small,theme_public_lands,0.0,0.0,0.0,1,0,0,1
gpt_oss_small,theme_rights_liberties_minorities_discrimination,0.0,0.0,0.0,10,0,0,10
gpt_oss_small,theme_social_welfare,0.0,0.0,0.0,10,0,1,10
gpt_oss_small,theme_technology,0.0,0.0,0.0,3,0,0,3
gpt_oss_small,theme_transportation,0.0,0.0,0.0,6,0,0,6
llama_large,theme_agriculture,0.0,0.0,0.0,2,0,3,2
llama_large,theme_culture_nationalism,0.25,0.3333333333333333,0.28571428571428575,3,1,3,2
llama_large,theme_defense,0.0,0.0,0.0,3,0,6,3
llama_large,theme_domestic_commerce,0.0,0.0,0.0,7,0,8,7
llama_large,theme_education,0.0,0.0,0.0,3,0,8,3
llama_large,theme_energy,0.0,0.0,0.0,7,0,2,7
llama_large,theme_environment,0.045454545454545456,0.08333333333333333,0.05882352941176471,12,1,21,11
llama_large,theme_foreign_trade,0.0,0.0,0.0,6,0,3,6
llama_large,theme_governments_governance,0.15217391304347827,0.175,0.1627906976744186,40,7,39,33
llama_large,theme_health,0.043478260869565216,0.06666666666666667,0.052631578947368425,15,1,22,14
llama_large,theme_housing,0.13333333333333333,0.15384615384615385,0.14285714285714288,13,2,13,11
llama_large,theme_immigration,0.5,0.3333333333333333,0.4,3,1,1,2
llama_large,theme_indigenous_affairs,0.0,0.0,0.0,0,0,0,0
llama_large,theme_international_affairs,0.05263157894736842,0.04,0.04545454545454545,25,1,18,24
llama_large,theme_labor,0.0,0.0,0.0,7,0,6,7
llama_large,theme_law_and_crime,0.0,0.0,0.0,15,0,21,15
llama_large,theme_macroeconomics,0.19642857142857142,0.39285714285714285,0.26190476190476186,28,11,45,17
llama_large,theme_public_lands,0.0,0.0,0.0,1,0,3,1
llama_large,theme_rights_liberties_minorities_discrimination,0.15789473684210525,0.3,0.20689655172413793,10,3,16,7
llama_large,theme_social_welfare,0.0,0.0,0.0,10,0,18,10
llama_large,theme_technology,0.0,0.0,0.0,3,0,3,3
llama_large,theme_transportation,0.1111111111111111,0.16666666666666666,0.13333333333333333,6,1,8,5
llama_small,theme_agriculture,0.0,0.0,0.0,2,0,0,2
llama_small,theme_culture_nationalism,0.023809523809523808,0.3333333333333333,0.044444444444444446,3,1,41,2
llama_small,theme_defense,0.0,0.0,0.0,3,0,0,3
llama_small,theme_domestic_commerce,0.0,0.0,0.0,7,0,0,7
llama_small,theme_education,0.0,0.0,0.0,3,0,2,3
llama_small,theme_energy,0.0,0.0,0.0,7,0,2,7
llama_small,theme_environment,0.0,0.0,0.0,12,0,0,12
llama_small,theme_foreign_trade,0.0,0.0,0.0,6,0,0,6
llama_small,theme_governments_governance,0.0,0.0,0.0,40,0,0,40
llama_small,theme_health,0.0,0.0,0.0,15,0,0,15
llama_small,theme_housing,0.0,0.0,0.0,13,0,3,13
llama_small,theme_immigration,0.0,0.0,0.0,3,0,0,3
llama_small,theme_indigenous_affairs,0.0,0.0,0.0,0,0,0,0
llama_small,theme_international_affairs,0.0,0.0,0.0,25,0,0,25
llama_small,theme_labor,0.0,0.0,0.0,7,0,1,7
llama_small,theme_law_and_crime,0.0,0.0,0.0,15,0,0,15
llama_small,theme_macroeconomics,0.0,0.0,0.0,28,0,0,28
llama_small,theme_public_lands,0.0,0.0,0.0,1,0,0,1
llama_small,theme_rights_liberties_minorities_discrimination,0.041666666666666664,0.1,0.058823529411764705,10,1,23,9
llama_small,theme_social_welfare,0.0,0.0,0.0,10,0,0,10
llama_small,theme_technology,0.0,0.0,0.0,3,0,2,3
llama_small,theme_transportation,0.0,0.0,0.0,6,0,0,6
manual_manual,theme_agriculture,0.0,0.0,0.0,2,0,0,2
manual_manual,theme_culture_nationalism,0.0,0.0,0.0,3,0,0,3
manual_manual,theme_defense,0.0,0.0,0.0,3,0,3,3
manual_manual,theme_domestic_commerce,0.0,0.0,0.0,7,0,0,7
manual_manual,theme_education,0.25,0.3333333333333333,0.28571428571428575,3,1,3,2
manual_manual,theme_energy,0.16666666666666666,0.14285714285714285,0.15384615384615383,7,1,5,6
manual_manual,theme_environment,0.1,0.08333333333333333,0.0909090909090909,12,1,9,11
manual_manual,theme_foreign_trade,0.0,0.0,0.0,6,0,5,6
manual_manual,theme_governments_governance,0.13114754098360656,0.2,0.15841584158415845,40,8,53,32
manual_manual,theme_health,0.0625,0.06666666666666667,0.06451612903225808,15,1,15,14
manual_manual,theme_housing,0.08333333333333333,0.07692307692307693,0.08,13,1,11,12
manual_manual,theme_immigration,0.0,0.0,0.0,3,0,0,3
manual_manual,theme_indigenous_affairs,0.0,0.0,0.0,0,0,0,0
manual_manual,theme_international_affairs,0.15384615384615385,0.16,0.1568627450980392,25,4,22,21
manual_manual,theme_labor,0.0,0.0,0.0,7,0,7,7
manual_manual,theme_law_and_crime,0.0,0.0,0.0,15,0,11,15
manual_manual,theme_macroeconomics,0.2857142857142857,0.21428571428571427,0.24489795918367344,28,6,15,22
manual_manual,theme_public_lands,0.0,0.0,0.0,1,0,1,1
manual_manual,theme_rights_liberties_minorities_discrimination,0.0,0.0,0.0,10,0,6,10
manual_manual,theme_social_welfare,0.0,0.0,0.0,10,0,2,10
manual_manual,theme_technology,0.0,0.0,0.0,3,0,2,3
manual_manual,theme_transportation,0.0,0.0,0.0,6,0,5,6
nemotron_large,theme_agriculture,0.0,0.0,0.0,2,0,0,2
nemotron_large,theme_culture_nationalism,0.5,0.3333333333333333,0.4,3,1,1,2
nemotron_large,theme_defense,0.0,0.0,0.0,3,0,4,3
nemotron_large,theme_domestic_commerce,0.0,0.0,0.0,7,0,6,7
nemotron_large,theme_education,0.0,0.0,0.0,3,0,9,3
nemotron_large,theme_energy,0.0,0.0,0.0,7,0,4,7
nemotron_large,theme_environment,0.07142857142857142,0.08333333333333333,0.07692307692307691,12,1,13,11
nemotron_large,theme_foreign_trade,0.0,0.0,0.0,6,0,7,6
nemotron_large,theme_governments_governance,0.15789473684210525,0.15,0.15384615384615385,40,6,32,34
nemotron_large,theme_health,0.0,0.0,0.0,15,0,12,15
nemotron_large,theme_housing,0.14285714285714285,0.15384615384615385,0.14814814814814817,13,2,12,11
nemotron_large,theme_immigration,0.25,0.3333333333333333,0.28571428571428575,3,1,3,2
nemotron_large,theme_indigenous_affairs,0.0,0.0,0.0,0,0,0,0
nemotron_large,theme_international_affairs,0.05,0.04,0.044444444444444446,25,1,19,24
nemotron_large,theme_labor,0.0,0.0,0.0,7,0,6,7
nemotron_large,theme_law_and_crime,0.05555555555555555,0.06666666666666667,0.0606060606060606,15,1,17,14
nemotron_large,theme_macroeconomics,0.2,0.2857142857142857,0.23529411764705882,28,8,32,20
nemotron_large,theme_public_lands,0.0,0.0,0.0,1,0,3,1
nemotron_large,theme_rights_liberties_minorities_discrimination,0.3333333333333333,0.1,0.15384615384615383,10,1,2,9
nemotron_large,theme_social_welfare,0.07692307692307693,0.2,0.1111111111111111,10,2,24,8
nemotron_large,theme_technology,0.0,0.0,0.0,3,0,3,3
nemotron_large,theme_transportation,0.0,0.0,0.0,6,0,10,6
nemotron_small,theme_agriculture,0.0,0.0,0.0,2,0,0,2
nemotron_small,theme_culture_nationalism,0.0,0.0,0.0,3,0,0,3
nemotron_small,theme_defense,0.0,0.0,0.0,3,0,0,3
nemotron_small,theme_domestic_commerce,0.0,0.0,0.0,7,0,9,7
nemotron_small,theme_education,0.0,0.0,0.0,3,0,0,3
nemotron_small,theme_energy,0.0,0.0,0.0,7,0,1,7
nemotron_small,theme_environment,0.0,0.0,0.0,12,0,1,12
nemotron_small,theme_foreign_trade,0.0,0.0,0.0,6,0,0,6
nemotron_small,theme_governments_governance,0.0,0.0,0.0,40,0,0,40
nemotron_small,theme_health,0.0,0.0,0.0,15,0,0,15
nemotron_small,theme_housing,0.0,0.0,0.0,13,0,0,13
nemotron_small,theme_immigration,0.0,0.0,0.0,3,0,0,3
nemotron_small,theme_indigenous_affairs,0.0,0.0,0.0,0,0,0,0
nemotron_small,theme_international_affairs,0.0,0.0,0.0,25,0,0,25
nemotron_small,theme_labor,0.0,0.0,0.0,7,0,0,7
nemotron_small,theme_law_and_crime,0.0,0.0,0.0,15,0,0,15
nemotron_small,theme_macroeconomics,0.0,0.0,0.0,28,0,1,28
nemotron_small,theme_public_lands,0.0,0.0,0.0,1,0,0,1
nemotron_small,theme_rights_liberties_minorities_discrimination,0.0,0.0,0.0,10,0,0,10
nemotron_small,theme_social_welfare,0.0,0.0,0.0,10,0,0,10
nemotron_small,theme_technology,0.0,0.0,0.0,3,0,1,3
nemotron_small,theme_transportation,0.0,0.0,0.0,6,0,1,6
