Theme,Model,Fleiss_Kappa,Agreement_Level,TP,FP,FN,Support,Precision,Recall,F1
immigration,GPT-4.1,0.7238,Substantial,0,1,3,3,0.0,0.0,0.0
immigration,GPT-5,0.7238,Substantial,1,2,2,3,0.3333,0.3333,0.3333
immigration,GPT-OSS,0.7238,Substantial,1,1,2,3,0.5,0.3333,0.4
immigration,Gemma,0.7238,Substantial,1,2,2,3,0.3333,0.3333,0.3333
immigration,Llama,0.7238,Substantial,1,1,2,3,0.5,0.3333,0.4
immigration,Nemotron,0.7238,Substantial,1,3,2,3,0.25,0.3333,0.2857
immigration,Manual,0.7238,Substantial,0,0,3,3,0.0,0.0,0.0
indigenous_affairs,GPT-4.1,1.0,Almost Perfect,0,0,0,0,0.0,0.0,0.0
indigenous_affairs,GPT-5,1.0,Almost Perfect,0,0,0,0,0.0,0.0,0.0
indigenous_affairs,GPT-OSS,1.0,Almost Perfect,0,0,0,0,0.0,0.0,0.0
indigenous_affairs,Gemma,1.0,Almost Perfect,0,0,0,0,0.0,0.0,0.0
indigenous_affairs,Llama,1.0,Almost Perfect,0,0,0,0,0.0,0.0,0.0
indigenous_affairs,Nemotron,1.0,Almost Perfect,0,0,0,0,0.0,0.0,0.0
indigenous_affairs,Manual,1.0,Almost Perfect,0,0,0,0,0.0,0.0,0.0
international_affairs,GPT-4.1,0.6058,Moderate,1,18,24,25,0.0526,0.04,0.0455
international_affairs,GPT-5,0.6058,Moderate,3,15,22,25,0.1667,0.12,0.1395
international_affairs,GPT-OSS,0.6058,Moderate,2,14,23,25,0.125,0.08,0.0976
international_affairs,Gemma,0.6058,Moderate,1,12,24,25,0.0769,0.04,0.0526
international_affairs,Llama,0.6058,Moderate,1,18,24,25,0.0526,0.04,0.0455
international_affairs,Nemotron,0.6058,Moderate,1,19,24,25,0.05,0.04,0.0444
international_affairs,Manual,0.6058,Moderate,4,22,21,25,0.1538,0.16,0.1569
labor,GPT-4.1,0.7225,Substantial,0,6,7,7,0.0,0.0,0.0
labor,GPT-5,0.7225,Substantial,0,6,7,7,0.0,0.0,0.0
labor,GPT-OSS,0.7225,Substantial,0,6,7,7,0.0,0.0,0.0
labor,Gemma,0.7225,Substantial,0,9,7,7,0.0,0.0,0.0
labor,Llama,0.7225,Substantial,0,6,7,7,0.0,0.0,0.0
labor,Nemotron,0.7225,Substantial,0,6,7,7,0.0,0.0,0.0
labor,Manual,0.7225,Substantial,0,7,7,7,0.0,0.0,0.0
law_and_crime,GPT-4.1,0.6436,Substantial,2,21,13,15,0.087,0.1333,0.1053
law_and_crime,GPT-5,0.6436,Substantial,2,14,13,15,0.125,0.1333,0.129
law_and_crime,GPT-OSS,0.6436,Substantial,0,15,15,15,0.0,0.0,0.0
law_and_crime,Gemma,0.6436,Substantial,1,18,14,15,0.0526,0.0667,0.0588
law_and_crime,Llama,0.6436,Substantial,0,21,15,15,0.0,0.0,0.0
law_and_crime,Nemotron,0.6436,Substantial,1,17,14,15,0.0556,0.0667,0.0606
law_and_crime,Manual,0.6436,Substantial,0,11,15,15,0.0,0.0,0.0
macroeconomics,GPT-4.1,0.6115,Substantial,9,30,19,28,0.2308,0.3214,0.2687
macroeconomics,GPT-5,0.6115,Substantial,7,25,21,28,0.2188,0.25,0.2333
macroeconomics,GPT-OSS,0.6115,Substantial,9,32,19,28,0.2195,0.3214,0.2609
macroeconomics,Gemma,0.6115,Substantial,9,43,19,28,0.1731,0.3214,0.225
macroeconomics,Llama,0.6115,Substantial,11,45,17,28,0.1964,0.3929,0.2619
macroeconomics,Nemotron,0.6115,Substantial,8,32,20,28,0.2,0.2857,0.2353
macroeconomics,Manual,0.6115,Substantial,6,15,22,28,0.2857,0.2143,0.2449
public_lands,GPT-4.1,0.3807,Fair,0,1,1,1,0.0,0.0,0.0
public_lands,GPT-5,0.3807,Fair,0,2,1,1,0.0,0.0,0.0
public_lands,GPT-OSS,0.3807,Fair,0,1,1,1,0.0,0.0,0.0
public_lands,Gemma,0.3807,Fair,0,3,1,1,0.0,0.0,0.0
public_lands,Llama,0.3807,Fair,0,3,1,1,0.0,0.0,0.0
public_lands,Nemotron,0.3807,Fair,0,3,1,1,0.0,0.0,0.0
public_lands,Manual,0.3807,Fair,0,1,1,1,0.0,0.0,0.0
rights_liberties_minorities_discrimination,GPT-4.1,0.6217,Substantial,2,18,8,10,0.1,0.2,0.1333
rights_liberties_minorities_discrimination,GPT-5,0.6217,Substantial,2,12,8,10,0.1429,0.2,0.1667
rights_liberties_minorities_discrimination,GPT-OSS,0.6217,Substantial,2,23,8,10,0.08,0.2,0.1143
rights_liberties_minorities_discrimination,Gemma,0.6217,Substantial,1,5,9,10,0.1667,0.1,0.125
rights_liberties_minorities_discrimination,Llama,0.6217,Substantial,3,16,7,10,0.1579,0.3,0.2069
rights_liberties_minorities_discrimination,Nemotron,0.6217,Substantial,1,2,9,10,0.3333,0.1,0.1538
rights_liberties_minorities_discrimination,Manual,0.6217,Substantial,0,6,10,10,0.0,0.0,0.0
social_welfare,GPT-4.1,0.5126,Moderate,2,18,8,10,0.1,0.2,0.1333
social_welfare,GPT-5,0.5126,Moderate,0,9,10,10,0.0,0.0,0.0
social_welfare,GPT-OSS,0.5126,Moderate,2,18,8,10,0.1,0.2,0.1333
social_welfare,Gemma,0.5126,Moderate,1,12,9,10,0.0769,0.1,0.087
social_welfare,Llama,0.5126,Moderate,0,18,10,10,0.0,0.0,0.0
social_welfare,Nemotron,0.5126,Moderate,2,24,8,10,0.0769,0.2,0.1111
social_welfare,Manual,0.5126,Moderate,0,2,10,10,0.0,0.0,0.0
technology,GPT-4.1,0.5411,Moderate,0,5,3,3,0.0,0.0,0.0
technology,GPT-5,0.5411,Moderate,0,4,3,3,0.0,0.0,0.0
technology,GPT-OSS,0.5411,Moderate,0,5,3,3,0.0,0.0,0.0
technology,Gemma,0.5411,Moderate,0,3,3,3,0.0,0.0,0.0
technology,Llama,0.5411,Moderate,0,3,3,3,0.0,0.0,0.0
technology,Nemotron,0.5411,Moderate,0,3,3,3,0.0,0.0,0.0
technology,Manual,0.5411,Moderate,0,2,3,3,0.0,0.0,0.0
transportation,GPT-4.1,0.6835,Substantial,0,8,6,6,0.0,0.0,0.0
transportation,GPT-5,0.6835,Substantial,0,7,6,6,0.0,0.0,0.0
transportation,GPT-OSS,0.6835,Substantial,0,7,6,6,0.0,0.0,0.0
transportation,Gemma,0.6835,Substantial,0,5,6,6,0.0,0.0,0.0
transportation,Llama,0.6835,Substantial,1,8,5,6,0.1111,0.1667,0.1333
transportation,Nemotron,0.6835,Substantial,0,10,6,6,0.0,0.0,0.0
transportation,Manual,0.6835,Substantial,0,5,6,6,0.0,0.0,0.0
