id,date,text,lang,source,annotations
441278HAN278-12567296,2024-02-08,"Je viens de rentrer de Genève, où mes homologues en ont fait la remarque, en particulier lors d’un forum consacré à cette question.Il est clair que nous pouvons en faire davantage.",FR,parliament,"{""manual_themes"": [], ""manual_sentiment"": ""sentiment_neutral"", ""manual_specific_themes"": []}"
441278HAN278-12567569,2024-02-08,Les familles sont brisées parce qu’elles ne peuvent pas faire venir leurs proches.,FR,parliament,"{""manual_themes"": [""theme_immigration""], ""manual_sentiment"": ""sentiment_negative"", ""manual_specific_themes"": []}"
441278HAN278-12568348,2024-02-08,"Il faut que les gens assument leurs responsabilités et, dans ce cas-ci, c'est le gouvernement qui doit intervenir et faire le nécessaire pour soutenir les provinces, le Québec et les territoires.",FR,parliament,"{""manual_themes"": [""theme_governments_governance""], ""manual_sentiment"": ""sentiment_neutral"", ""manual_specific_themes"": []}"
441278HAN278-12569079,2024-02-08,Est-ce qu'on est vraiment plus riche?,FR,parliament,"{""manual_themes"": [""theme_macroeconomics""], ""manual_sentiment"": ""sentiment_neutral"", ""manual_specific_themes"": []}"
441278HAN278-12569106,2024-02-08,Je vais essayer de ne pas le décevoir afin que je puisse encore avoir accès à son bureau quand je veux aller lui voler des amandes.C'est moi qui avais pris la parole en premier à l'automne quand nous avons tenu un débat relativement similaire sur la question des seuils d'immigration et de la capacité d'accueil du Québec et des provinces.,FR,parliament,"{""manual_themes"": [""theme_immigration""], ""manual_sentiment"": ""sentiment_neutral"", ""manual_specific_themes"": []}"
441278HAN278-12569422,2024-02-08,Nous ne donnerons pas plus d’argent public à une entreprise milliardaire.,FR,parliament,"{""manual_themes"": [""theme_macroeconomics""], ""manual_sentiment"": ""sentiment_negative"", ""manual_specific_themes"": []}"
441278HAN278-12569544,2024-02-08,I also want to thank our partners like the Canadian Coast Guard and Team Rubicon that rapidly put people on the ground to help their neighbours get out from under the snow.,EN,parliament,"{""manual_themes"": [""theme_domestic_commerce""], ""manual_sentiment"": ""sentiment_positive"", ""manual_specific_themes"": []}"
441278HAN278-12569575,2024-02-08,"Ils ont finalement reçu, 30 jours plus tard, une lettre qui disait que la subvention leur était refusée.",FR,parliament,"{""manual_themes"": [], ""manual_sentiment"": ""sentiment_negative"", ""manual_specific_themes"": []}"
441279HAN279-12573127,2024-02-09,"We are making progress.Yesterday, I had the opportunity to be in the gallery of the Senate, as the president of the Council of the Haida Nation, for the introduction of a new bill, Bill S-16.",EN,parliament,"{""manual_themes"": [""theme_governments_governance"", ""theme_rights_liberties_minorities_discrimination""], ""manual_sentiment"": ""sentiment_positive"", ""manual_specific_themes"": []}"
441279HAN279-12573160,2024-02-09,This was talked about seven years ago and we are just now finally getting to it.There are a number of first nations organizations that certainly our side has encouraged the government to include in this process that were not included.,EN,parliament,"{""manual_themes"": [""theme_rights_liberties_minorities_discrimination""], ""manual_sentiment"": ""sentiment_negative"", ""manual_specific_themes"": []}"
441279HAN279-12573178,2024-02-09,Seven years is an awfully long time to take to put together the council.,EN,parliament,"{""manual_themes"": [], ""manual_sentiment"": ""sentiment_negative"", ""manual_specific_themes"": []}"
441279HAN279-12573555,2024-02-09,"After all these years and all the money that it announced in that time, housing starts dropped again last year, especially in December, when housing construction fell by 28%.",EN,parliament,"{""manual_themes"": [""theme_housing""], ""manual_sentiment"": ""sentiment_negative"", ""manual_specific_themes"": []}"
441279HAN279-12573574,2024-02-09,Will the Liberals reverse this dangerous bill that keeps dangerous criminals on the street?,EN,parliament,"{""manual_themes"": [""theme_law_and_crime""], ""manual_sentiment"": ""sentiment_negative"", ""manual_specific_themes"": []}"
441279HAN279-12573727,2024-02-09,"It is important for the government to continue to work hard in this area so that we can foster potential and global collaborations to address common challenges, including many researchers who are doing excellent work in the area of climate change.Research needs are increasingly complex: collaborative, multidisciplinary, interdisciplinary and international.",EN,parliament,"{""manual_themes"": [""theme_environment"", ""theme_international_affairs""], ""manual_sentiment"": ""sentiment_neutral"", ""manual_specific_themes"": []}"
441279HAN279-12573836,2024-02-09,"À tout le moins, elles méritent d'obtenir rapidement des explications et des informations exactes.",FR,parliament,"{""manual_themes"": [], ""manual_sentiment"": ""sentiment_neutral"", ""manual_specific_themes"": []}"
441279HAN279-12573872,2024-02-09,"Au fil du temps, puisqu'elles recevraient des informations transparentes et claires pendant qu'elles guérissent — si tant est que ce soit possible —, elles auraient la possibilité d'obtenir plus d'informations sur le processus et ce qui se passe, si elles le souhaitent.Nous avons écouté les victimes, y compris Mme Freeman en sa qualité de défenseure des droits des victimes.",FR,parliament,"{""manual_themes"": [""theme_law_and_crime""], ""manual_sentiment"": ""sentiment_neutral"", ""manual_specific_themes"": []}"
441279HAN279-12573891,2024-02-09,C'est là notre point de vue.,FR,parliament,"{""manual_themes"": [], ""manual_sentiment"": ""sentiment_neutral"", ""manual_specific_themes"": []}"
441279HAN279-12573950,2024-02-09,Le projet de loi C‑320 exigerait qu'on fournisse aux victimes une explication sur la manière dont ces dates ont été déterminées.,FR,parliament,"{""manual_themes"": [], ""manual_sentiment"": ""sentiment_neutral"", ""manual_specific_themes"": []}"
441280HAN280-12575101,2024-02-12,"Les chercheurs de ce programme ont réussi à prédire correctement les inondations et à en montrer la cause, qui, en l'occurrence, était la fonte sans précédent de glaciers et de neige dans les montagnes de la Colombie‑Britannique.",FR,parliament,"{""manual_themes"": [""theme_environment"", ""theme_public_lands""], ""manual_sentiment"": ""sentiment_neutral"", ""manual_specific_themes"": []}"
441280HAN280-12576717,2024-02-12,"Ainsi, le projet de loi vise à faire passer le délai de trois mois à deux ans pour les anciens employés.",FR,parliament,"{""manual_themes"": [""theme_governments_governance""], ""manual_sentiment"": ""sentiment_negative"", ""manual_specific_themes"": []}"
441280HAN280-12577125,2024-02-12,"This is not entirely the same thing, but that was constructive change.",EN,parliament,"{""manual_themes"": [], ""manual_sentiment"": ""sentiment_positive"", ""manual_specific_themes"": []}"
441280HAN280-12577610,2024-02-12,"On this issue of “co-development”, which the Liberals insist is how they do business, President Obed said: “It has been debatable on the Inuit side on whether or not we would describe how we've interacted with the federal government as co-developed....",EN,parliament,"{""manual_themes"": [""theme_rights_liberties_minorities_discrimination""], ""manual_sentiment"": ""sentiment_neutral"", ""manual_specific_themes"": []}"
441281HAN281-12578948,2024-02-13,"Il y a eu des divergences d'opinions sur cette question par le passé, et il y en a encore à la Chambre.Ce que nous disons, c'est que nous examinons expressément les cas où la maladie mentale est la seule condition médicale invoquée.",FR,parliament,"{""manual_themes"": [""theme_health""], ""manual_sentiment"": ""sentiment_neutral"", ""manual_specific_themes"": []}"
441281HAN281-12578989,2024-02-13,Pourquoi le gouvernement a-t-il tant tardé à présenter cette mesure pour qu’elle fasse l’objet d’un débat en bonne et due forme?,FR,parliament,"{""manual_themes"": [""theme_governments_governance""], ""manual_sentiment"": ""sentiment_negative"", ""manual_specific_themes"": []}"
441281HAN281-12579370,2024-02-13,"En ce qui concerne l'autre question du député, j'y suis tout à fait favorable.",FR,parliament,"{""manual_themes"": [], ""manual_sentiment"": ""sentiment_positive"", ""manual_specific_themes"": []}"
441281HAN281-12579390,2024-02-13,"Cela signifie que les évaluateurs des demandes d'aide médicale à mourir se tromperont plus de la moitié du temps lorsqu'ils prédiront l'irrémédiabilité, qu'ils croiront à tort qu'ils filtrent la tendance suicidaire et qu'au lieu de cela, ils permettront la mort de Canadiens suicidaires marginalisés dont la situation aurait pu s'améliorer.Archibald Kaiser, professeur à l'École de droit Schulich et au département de psychiatrie de la faculté de médecine de l'Université Dalhousie, a ajouté: « En 1991, la Cour suprême a conclu que les personnes atteintes de maladie mentale ont toujours été victimes de mauvais traitements, de négligence et de discrimination.",FR,parliament,"{""manual_themes"": [""theme_health"", ""theme_rights_liberties_minorities_discrimination""], ""manual_sentiment"": ""sentiment_negative"", ""manual_specific_themes"": []}"
441281HAN281-12581363,2024-02-13,Le premier ministre a déjà fait obstacle à des enquêtes criminelles.,FR,parliament,"{""manual_themes"": [""theme_governments_governance"", ""theme_law_and_crime""], ""manual_sentiment"": ""sentiment_negative"", ""manual_specific_themes"": []}"
441281HAN281-12582564,2024-02-13,"There is a motion calling for a distinction between neurodegenerative disease and mental illness.I wonder if my colleague could tell us what he thinks about the possibility of moving faster on legislation that covers neurodegenerative disease so that people with Alzheimer's can decide, while they are still lucid, if and when they want to end things, because it is still a choice.",EN,parliament,"{""manual_themes"": [""theme_health""], ""manual_sentiment"": ""sentiment_neutral"", ""manual_specific_themes"": []}"
441283HAN283-12589760,2024-02-15,Les libéraux ne savent même pas de quoi ils parlent.,FR,parliament,"{""manual_themes"": [], ""manual_sentiment"": ""sentiment_negative"", ""manual_specific_themes"": []}"
441283HAN283-12590008,2024-02-15,Les libéraux ont apporté une modification à l’aide médicale à mourir avant l'examen prévu à l’origine.,FR,parliament,"{""manual_themes"": [""theme_health""], ""manual_sentiment"": ""sentiment_neutral"", ""manual_specific_themes"": []}"
441283HAN283-12590457,2024-02-15,Qui donc écoute-t-il et pourquoi?,FR,parliament,"{""manual_themes"": [], ""manual_sentiment"": ""sentiment_neutral"", ""manual_specific_themes"": []}"
441283HAN283-12590712,2024-02-15,"Nous mourrons tous, mais, comme je l’ai dit il y a de nombreuses législatures de cela, l’acte de mourir n’est pas un acte isolé; il touche toute la famille, le groupe d'amis, les personnes qui nous sont chères.",FR,parliament,"{""manual_themes"": [""theme_health"", ""theme_social_welfare""], ""manual_sentiment"": ""sentiment_negative"", ""manual_specific_themes"": []}"
441283HAN283-12590904,2024-02-15,"Plus récemment, un membre de ma collectivité, du Family Support Institute of BC, a exprimé de profondes inquiétudes devant l’élargissement de l’aide médicale à mourir.",FR,parliament,"{""manual_themes"": [""theme_health"", ""theme_social_welfare""], ""manual_sentiment"": ""sentiment_negative"", ""manual_specific_themes"": []}"
441283HAN283-12590935,2024-02-15,Ils étudient et travaillent dans certains des meilleurs établissements canadiens.,FR,parliament,"{""manual_themes"": [""theme_education""], ""manual_sentiment"": ""sentiment_positive"", ""manual_specific_themes"": []}"
441283HAN283-12590937,2024-02-15,"C'est inspirant et nous devrions adopter ce ton lors de l'étude des nombreuses autres questions qui sont abordées ici à la Chambre.J'ai entendu des arguments que je ne veux pas qualifier de fallacieux, parce que c'est un mot péjoratif et que je ne veux pas critiquer quiconque, mais disons que j'ai senti certaines contradictions lors de certaines interventions.Premièrement, on prétend qu'on aurait pu tout simplement amender le projet de loi C‑62 pour y inclure les demandes anticipées.",FR,parliament,"{""manual_themes"": [""theme_governments_governance"", ""theme_health""], ""manual_sentiment"": ""sentiment_negative"", ""manual_specific_themes"": []}"
441283HAN283-12591331,2024-02-15,I am referring specifically to the member for Alfred-Pellan.The hon.,EN,parliament,"{""manual_themes"": [], ""manual_sentiment"": ""sentiment_neutral"", ""manual_specific_themes"": []}"
441284HAN284-12593817,2024-02-16,"Since we were first elected, seniors have been central to our work in government.",EN,parliament,"{""manual_themes"": [""theme_social_welfare""], ""manual_sentiment"": ""sentiment_neutral"", ""manual_specific_themes"": [""specific_themes_welfare_state""]}"
441284HAN284-12594212,2024-02-16,"That is what the NDP-Liberals rejected.One of the amendments that we had proposed was to make sure we included all types of providers, private providers, home-based providers, alongside public and not-for-profit providers, just to make sure that all types of home care options were eligible.In fact, in Saskatchewan, there are over 87,574 children under age six in our province but the majority of them are not in licensed care and receive no benefit from the implementation of the government's child care strategy.This government has a one-size-fits-all approach for parents.",EN,parliament,"{""manual_themes"": [""theme_social_welfare""], ""manual_sentiment"": ""sentiment_negative"", ""manual_specific_themes"": [""specific_themes_early_learning_childcare""]}"
441284HAN284-12594478,2024-02-16,"Firefighters, police officers, correctional officers, nurses and doctors put on their uniforms each and very day to serve us and our families.",EN,parliament,"{""manual_themes"": [""theme_health"", ""theme_law_and_crime""], ""manual_sentiment"": ""sentiment_positive"", ""manual_specific_themes"": []}"
441285HAN285-12601654,2024-02-26,"Malheureusement, le chef des conservateurs veut empêcher tout cela de se produire.",FR,parliament,"{""manual_themes"": [], ""manual_sentiment"": ""sentiment_negative"", ""manual_specific_themes"": []}"
441285HAN285-12601752,2024-02-26,Les Canadiens méritent mieux.Les actions des conservateurs ne sont pas saines pour ce Parlement ni pour la démocratie.,FR,parliament,"{""manual_themes"": [], ""manual_sentiment"": ""sentiment_negative"", ""manual_specific_themes"": []}"
441285HAN285-12602450,2024-02-26,"Monsieur le Président, le registre des votes est éloquent.",FR,parliament,"{""manual_themes"": [""theme_governments_governance""], ""manual_sentiment"": ""sentiment_neutral"", ""manual_specific_themes"": []}"
441285HAN285-12602471,2024-02-26,Le secrétaire parlementaire du leader du gouvernement à la Chambre a la parole.,FR,parliament,"{""manual_themes"": [], ""manual_sentiment"": ""sentiment_neutral"", ""manual_specific_themes"": []}"
441285HAN285-12602660,2024-02-26,"C'est la raison pour laquelle nous avons de bonnes conversations avec le ministre Dubé et le gouvernement du Québec au sujet de l'amélioration de la qualité des soins de santé.Il est essentiel pour tous les Québécois et toutes les Québécoises d'avoir accès à des soins dentaires, à un bon système de santé.",FR,parliament,"{""manual_themes"": [""theme_health""], ""manual_sentiment"": ""sentiment_neutral"", ""manual_specific_themes"": []}"
441285HAN285-12602882,2024-02-26,"Pourquoi le premier ministre choisit-il de dépenser des milliards de dollars pour s'en prendre aux chasseurs et aux propriétaires d'armes à feu respectueux des lois, au lieu de sévir contre les véritables criminels?",FR,parliament,"{""manual_themes"": [""theme_law_and_crime""], ""manual_sentiment"": ""sentiment_negative"", ""manual_specific_themes"": []}"
441285HAN285-12604469,2024-02-26,"De la même manière, les entreprises doivent être en mesure de poursuivre leurs activités pour répondre à la demande de leur clientèle.Mes préoccupations concernant le projet de loi C‑58 n'ont rien à voir avec le droit des travailleurs de se syndiquer ou de recourir à la négociation collective, car il ne fait aucun doute que les travailleurs canadiens possèdent ces droits.",FR,parliament,"{""manual_themes"": [""theme_labor""], ""manual_sentiment"": ""sentiment_negative"", ""manual_specific_themes"": []}"
441285HAN285-12604477,2024-02-26,On peut toujours dire qu'on laisse ainsi le processus de fonctionner.,FR,parliament,"{""manual_themes"": [], ""manual_sentiment"": ""sentiment_neutral"", ""manual_specific_themes"": []}"
441285HAN285-12604530,2024-02-26,"To build a new home in my part of eastern Ontario, whether it be in the united counties of SDG or the city of Cornwall, the cost to build and the cost of a mortgage for any family that desperately needs a place to live are becoming more and more out of reach, not easier.",EN,parliament,"{""manual_themes"": [""theme_housing""], ""manual_sentiment"": ""sentiment_negative"", ""manual_specific_themes"": []}"
441286HAN286-12607223,2024-02-27,Cette situation est tout à fait représentative des circonscriptions électorales du Canada.,FR,parliament,"{""manual_themes"": [], ""manual_sentiment"": ""sentiment_neutral"", ""manual_specific_themes"": []}"
