n,id,date,text,lang,source
83,montrealgazette_com_news_local-news_tech-company-hopes-to-reach-deal-soon-to-preserve-land-in-technoparc_20240529_030345,2024-05-29,"The provincial government, meanwhile, has been participating in talks with Hypertec and city of Montreal officials on the issue, and a spokesperson for Environment Minister Benoit Charette said the minister is open to the idea of his department contributing to the purchase of the lands.",EN,headlines
26940,441373HAN373-13004754,2024-11-21,"In another section of the Midas story, he becomes fearful of his power and embraces his beautiful daughter, who is immediately transformed into a golden statue.",EN,parliament
1765,www_thestar_com_politics_federal_nuclear-war-would-turn-canada-into-one-of-the-worst-places-on-the-planet-and_article_61cf660c-4daf-11ef-89a3-b32fae1a7220_html_20240811_023432,2024-08-11,"And Beijing, which recently colluded with Russia to fly strategic bombers in the Alaskan Arctic for the first time, is undertaking a “rapid nuclear expansion” that the U.S. defence department expects to double China’s arsenal of operational warheads by 2030.",EN,headlines
21046,441299HAN299-12678419,2024-04-15,"Feed Nova Scotia reports that food bank usage is up 26%, with increased visits as high as 50% in Cape Breton.",EN,parliament
7712,globalnews_ca_news_10936633_south-korea-plane-crash-boeing-inspection__20241230_153328,2024-12-30,The political tumult resulted in the opposition-controlled National Assembly impeaching Yoon and Han.,EN,headlines
29053,441273HAN273-12549664,2024-02-01,"However, when my other grandparents, Joseph and Doris Soroka, came in 1929, there were actually two pages.",EN,parliament
31833,441312HAN312-12738524,2024-05-09,"C'est pourquoi je voudrais que le ministre fournisse une mise à jour au maire Kletke et à la société d'habitation de Trochu, parce que si ce projet avait pu être lancé il y a trois ans, il aurait coûté entre 20 % et 25 % de moins que ce qu'il coûtera maintenant, même si le nombre de logements a été réduit.",FR,parliament
24490,441328HAN328-12812830,2024-06-10,We also removed a paragraph from the bill requiring the commission to be satisfied that it had sufficient resources to review a complaint.,EN,parliament
2915,www_cbc_ca_news_world_sinwar-death-reports-israel-1_7354642_20241017_153353,2024-10-17,"Israel's campaign in response has killed 42,438 Palestinians and injured 99,246 more, according to Gaza's health ministry.",EN,headlines
6229,www_thestar_com_politics_justin-trudeau-has-to-step-down-former-b-c-premier-christy-clark-says-i-want_article_7e17dd48-34c9-11ef-b755-73c82cfcc448_html_20240628_084402,2024-06-28,The leader is the one that gives direction to his or her cabinet.,EN,headlines
8304,www_theglobeandmail_com_politics_article-chrystia-freeland-resigns-as-minister-of-finance__20241217_060331,2024-12-17,"He called the day’s events a wake-up call for the Liberal Party, but declined to say if Mr.",EN,headlines
5141,bc_ctvnews_ca_dam-in-chilcotin-river-will-be-overtaken-by-water-within-hours-b-c-officials-1_6989204_20240805_021348,2024-08-05,"The BC Wildfire Service issued an NOTAM (Notice to Airmen) on Friday, which makes using any aircraft in the area not part of landslide response illegal.",EN,headlines
39875,441279HAN279-12573638,2024-02-09,Ce sont 8 milliards de dollars qui ont été octroyés à du financement de la recherche en anglais.,FR,parliament
4280,vancouversun_com_news_election_bc-election-grading-education-promises_20241013_122334,2024-10-13,"We have been disappointed,” said Broady, the association president and chairwoman of West Vancouver Schools.",EN,headlines
6407,www_cbc_ca_newsinteractives_features_dawson-creek-violence-crime_20241011_114356,2024-10-11,"One of them was John Ominayak, the man living in the tent encampment at the edge of town.",EN,headlines
12404,www_lapresse_ca_actualites_2024-10-09_mauricie-et-centre-du-quebec_faussetes-et-omissions-a-la-dpj_php_20241009_123330,2024-10-09,"Les enfants orientés dans ces familles sont à haut risque d’abandon parental », selon la définition du CIUSSS.",FR,headlines
1016,www_theglobeandmail_com_world_article-trump-inauguration-2025-live-updates__20250120_174336,2025-01-20,Army Herald Trumpets Major Aaron Morris during rehearsals for the inauguration on the West Front of the U.S.,EN,headlines
37480,441308HAN308-12718384,2024-05-03,Les gérants d'épiceries mettent des puces sur les biftecks.,FR,parliament
30347,441345HAN345-12889425,2024-09-27,S'ajoute maintenant cette prestigieuse reconnaissance de l'industrie de son indiscutable performance.,FR,parliament
19381,ici_radio-canada_ca_info_en-direct_1011813_parti-democrate-convention-chicago-elections-americaines-presidentielles_20240820_060349,2024-08-20,"Pour celle issue d'une famille peu fortunée du Bronx et qui a été longtemps serveuse dans un bar sans filet social, seule Kamala Harris comprend la réalité de ceux qui croulent sous les dettes et qui ne peuvent pas compter sur une assurance pour leurs soins de santé.",FR,headlines
13258,ici_radio-canada_ca_nouvelle_2134388_taxe-carbone-pollution-environnement-liberau_20250121_184351,2025-01-21,"Mark Carney bénéficie donc de l’appui de deux ministres québécois bien connus, en plus de celui d’Harjit Sajjan, dans l’Ouest, et de Kamal Khera et Patty Hadju, en Ontario.",FR,headlines
25015,441312HAN312-12736248,2024-05-09,We will certainly take that into consideration as well as we continue to deliberate on that question.,EN,parliament
28375,441324HAN324-12795195,2024-06-04,That is the first comment I have.,EN,parliament
15426,ici_radio-canada_ca_recit-numerique_10863_soins-affirmation-genre-bloqueurs-puberte-chirurgie-hormone-transgenre-jeunes-etudes-cass_20241028_165330,2024-10-28,"« Si une étude est de faible qualité, cela ne signifie pas que toute l’information est inutile.",FR,headlines
23050,441318HAN318-12764918,2024-05-27,The folks at Swiilawiid are going to be hosting this year's renewable energy symposium on September 21-22.,EN,parliament
16357,www_ledevoir_com_societe_education_822069_programmes-courts-enseignement-promus-quebec-analyse-serieuse_20241021_110327,2024-10-21,"Mais sur le terrain, plusieurs acteurs du milieu s’attendent à ce que les enseignants non légalement qualifiés suivant ces programmes soient nombreux à les abandonner avant d’avoir obtenu leur brevet d’enseignement.",FR,headlines
29960,441384HAN384-13050023,2024-12-06,The hon. member will have an opportunity to raise that.,EN,parliament
37781,441273HAN273-12545857,2024-02-01,Pourquoi pense-t-il que les libéraux et les conservateurs refusent d'obliger ces PDG à payer leur part et à contribuer à remettre de l'argent dans les poches des gens?,FR,parliament
39531,441333HAN333-12831162,2024-06-17,"Monsieur le Président, je remercie ma collègue de sa question.",FR,parliament
1401,www_theglobeandmail_com_canada_article-cfia-food-safety-algorithm-listeria-outbreak__20241215_100332,2024-12-15,"On Tuesday, she was in the ER, stricken with pain down her back.",EN,headlines
23301,441354HAN354-12926788,2024-10-11,It sure pays to be a Liberal insider.,EN,parliament
12377,www_ledevoir_com_economie_816932_plus-plus-quebecois-aventurent-jungle-prets-hypothecaires-alternatifs_20240723_055336,2024-07-23,"À l’échelle du pays, la part des prêts hypothécaires résidentiels accordés par ces acteurs s’est élevée en moyenne à 23 % depuis 2014, selon des données de Statistique Canada fournies au Devoir.",FR,headlines
29302,441363HAN363-12965958,2024-10-31,We are also going to keep supporting Canadians and we are going to build houses from coast to coast.,EN,parliament
35953,441278HAN278-12569575,2024-02-08,"Ils ont finalement reçu, 30 jours plus tard, une lettre qui disait que la subvention leur était refusée.",FR,parliament
54,vancouversun_com_news_local-news_bc-hydrogen-highway-new-projects_20240621_225347,2024-06-21,"In that respect, Sheldrick said it likely means less to passenger-vehicle transportation, where electric vehicles seem to be a better fit, and more to uses that require more power.",EN,headlines
33069,441351HAN351-12911858,2024-10-08,"Je pense qu'un tel débat serait plus productif, car, comme le député l'a lui-même précisé, ce débat a eu lieu il y a plus d'un an et demi.Il y a le rapport, et il y a de nombreux documents qui m'ont été fournis et que je n'ai pas pu consulter.",FR,parliament
25655,441319HAN319-12768911,2024-05-28,"It almost did not matter which party one was in, he was generally approved.",EN,parliament
37369,441338HAN338-12862499,2024-09-18,C'est ce que je vais faire.,FR,parliament
37674,441331HAN331-12824183,2024-06-13,"La nouvelle taxe est dévastatrice pour tout le monde, de la ferme à la table.",FR,parliament
24385,441369HAN369-12987640,2024-11-08,"Madam Speaker, the Halifax regional municipality is on the front lines when it comes to responding to the housing crisis.",EN,parliament
35535,441320HAN320-12773426,2024-05-29,Il faut en même temps régler la qualité et protéger la santé de la population.,FR,parliament
37018,441377HAN377-13022287,2024-11-27,"Il a accordé 18 millions de dollars en primes à ses cadres alors que la confiance du public, les auditoires et les revenus publicitaires sont en déclin.",FR,parliament
18145,ici_radio-canada_ca_info_long-format_2127568_itinerance-refuge-hiver-inflation-campements-autochtones_20241218_140356,2024-12-18,"Bien sûr qu'il devrait y avoir des services de logement, mais si vous ne disposez pas de services d'urgence adéquats entre-temps, vous aurez encore plus de morts.",FR,headlines
34183,441309HAN309-12723415,2024-05-06,Le ministre de la Santé est-il en mesure de nous dire quelle incidence le projet de loi aura sur les 27 millions de Canadiens qui comptent sur un régime privé administré par leur employeur?,FR,parliament
12223,ici_radio-canada_ca_nouvelle_2099437_astronautes-boeing-reviendront-avec-spacex_20240824_185331,2024-08-24,"La capsule Starliner, de Boeing, amarrée à la Station spatiale internationale.",FR,headlines
35684,441347HAN347-12895955,2024-10-02,"Monsieur le Président, le premier ministre a caché aux tribunaux et aux Canadiens son intention de quadrupler la taxe sur le carbone pour la faire passer à 61 ¢ le litre.",FR,parliament
8310,www_thestar_com_news_gta_this-new-toronto-burger-restaurant-is-already-selling-out-its-no-surprise-given-whos-behind_article_3a18e558-4e9e-11ef-8151-dff2548ac28d_html_20240805_115355,2024-08-05,"It’s drawing out, and it’s weird to say, the prehistoric roots of cooking over the fire.",EN,headlines
19542,www_lapresse_ca_elections-americaines_chroniques_2024-11-04_presidentielle-americaine_l-heure-du-bilan-de-la-campagne_php_20241104_141401,2024-11-04,"Il faudrait remonter à 2023, et se demander pourquoi Joe Biden n’a pas cédé sa place.",FR,headlines
12848,ici_radio-canada_ca_jeux-olympiques_nouvelle_2091763_ceremonie-ouverture-jeux-celine-dion_20240726_231352,2024-07-26,Le président français Emmanuel Macron a donné le coup d'envoi du rendez-vous olympique à 16 h 54 (HAE).,FR,headlines
37507,441358HAN358-12945372,2024-10-24,La politique sur les sports est échue depuis plus d'un an.,FR,parliament
27336,441281HAN281-12584055,2024-02-13,My recommendation to this government is to listen to the committee and strike it from the bill that passed.,EN,parliament
24812,441311HAN311-12732467,2024-05-08,"Speaker, this is not a court of law, and the member might want to be a criminal lawyer at some point in time.",EN,parliament
26,globalnews_ca_news_10702406_top-stories-this-week-august-16__20240818_021332,2024-08-18,Here’s how to spot them The Canadian Taxi Association is warning customers about scams involving fake roof signs that have recently been reported in several cities.,EN,headlines
34491,441286HAN286-12607971,2024-02-27,Il n’y avait pas de données.,FR,parliament
19749,www_tvanouvelles_ca_2024_11_12_elon-musk-nomme-ministre-cest-un-coup-de-maitre-de-donald-trump-avance-un-expert-des-medias_20241113_053329,2024-11-13,"«On va couper de façon aléatoire, c'est ça qui est frustrant.",FR,headlines
38850,441283HAN283-12590712,2024-02-15,"Nous mourrons tous, mais, comme je l’ai dit il y a de nombreuses législatures de cela, l’acte de mourir n’est pas un acte isolé; il touche toute la famille, le groupe d'amis, les personnes qui nous sont chères.",FR,parliament
31167,441316HAN316-12753007,2024-05-23,Il y a aussi le déficit de 40 milliards de dollars; ce n'est pas banal.,FR,parliament
26517,441305HAN305-12705566,2024-04-30,No one can afford to live anymore.,EN,parliament
34175,441315HAN315-12750514,2024-05-22,Est-ce qu'il était dangereux?,FR,parliament
21261,441291HAN291-12631104,2024-03-19,They ravaged this country.One of the things that I think is very interesting is the climate changer performance index that the member for Regina—Qu'Appelle mentioned earlier.,EN,parliament
22766,441297HAN297-12667766,2024-04-10,We will continue in our relentless pursuit of economic strategies that work for all Canadians.,EN,parliament
34688,441386HAN386-13059414,2024-12-10,"C'est la Colombie‑Britannique qui en compte le plus en raison de l'accueil fort enthousiaste de ses politiques sur les peines légères, la non-application de la loi et la distribution de drogues financées par les contribuables.",FR,parliament
23215,441298HAN298-12672821,2024-04-11,"Do members know how many days and weeks ago we passed this in the House, and how we had to drag the Conservative Party to get the bill out of second reading?",EN,parliament
25185,441312HAN312-12736996,2024-05-09,We will not necessarily listen to rhetoric and ideology that is counterproductive and that only hurts people.,EN,parliament
29851,441363HAN363-12966365,2024-10-31,Before the WE Charity it was SNC-Lavalin.,EN,parliament
37523,441321HAN321-12775236,2024-05-30,"En 2023, nos émissions auraient été supérieures d'environ 24 millions de tonnes sans la tarification minimale du carbone, qui était en place pour la quatrième année seulement au Canada.",FR,parliament
28512,441324HAN324-12795220,2024-06-04,"In fact, none other than the B.C.",EN,parliament
28112,441319HAN319-12768823,2024-05-28,"Speaker, scheduled to be held on the evening of June 4th in the shadow of Parliament Hill at a location adjacent to the Gatineau bank on the bank of the Ottawa River, less than a kilometre from here.The promotional material of the event used very partisan, inflammatory language concerning the Conservative Party and the leader of the official opposition.",EN,parliament
11335,ici_radio-canada_ca_info_en-direct_1012095_soiree-election-provinciale-saskatchewan-vote_20241029_040348,2024-10-29,"Selon les prévisions de Radio-Canada, le parti de Scott Moe a remporté 10 premiers sièges sur les 31 nécessaires pour former un gouvernement majoritaire.",FR,headlines
24348,441275HAN275-12553338,2024-02-05,"The participants will cover a total of 3,250 kilometres by snowmobile on their way to Wendake, passing through Mashteuiatsh, Rouyn‑Noranda, where they stopped the day before yesterday, Maniwaki, Saint‑Michel‑des‑Saints, and many other places.I went to Témiscaming yesterday to meet up with them.",EN,parliament
16550,www_lapresse_ca_actualites_chroniques_2024-07-17_ce-chien-mira-pourra-t-il-traverser-aux-etats-unis-en-aout_php_20240717_111410,2024-07-17,Elle a été éradiquée du pays il y a 17 ans et la Santé publique ne veut pas qu’elle y revienne.,FR,headlines
26378,441324HAN324-12790119,2024-06-04,"Here are the Auditor General's words, hot off the press, just tabled here this morning, on this green slush fund scandal.",EN,parliament
15721,www_journaldemontreal_com_2024_10_08_louragan-milton-pourrait-etre-la-pire-tempete-en-floride-en-un-siecle-avertit-biden_20241008_175325,2024-10-08,Elle avait déjà accusé l'ex-président de «jouer à des jeux politiques» autour de l'ouragan Hélène.,FR,headlines
494,montrealgazette_com_news_local-news_what-to-do-if-you-get-caught-in-a-flood-while-driving_20240718_045352,2024-07-18,"Instead, he said these situations are usually co-ordinated by emergency services and insurance companies.",EN,headlines
10114,www_journaldemontreal_com_2024_07_10_menaces-et-harcelement-en-ligne--sophie-durocher-temoigne-a-la-cour_20240710_184329,2024-07-10,Vous avez des informations à nous communiquer à propos de cette histoire?,FR,headlines
33262,441376HAN376-13013871,2024-11-26,"Sait-on quels députés ont voté, avec leurs amis libéraux, contre l'annulation des primes?",FR,parliament
29864,441373HAN373-13002616,2024-11-21,Canada has become a massive exporter of stolen cars and a net importer of illegal firearms under the current Liberal government.,EN,parliament
18483,ici_radio-canada_ca_nouvelle_2086130_france-elections-legislatives-failles-barrage-extreme-droite-rn_20240706_190332,2024-07-06,"Moi, je sais que ça fait depuis dimanche soir que je me torture et c'est plus fort que moi.",FR,headlines
36918,441340HAN340-12870022,2024-09-20,"Puisque c'est la première fois que je m'adresse à la Chambre depuis la reprise de nos travaux, j'en profite pour dire à quel point je suis de représenter les gens de Laurentides—Labelle.",FR,parliament
25052,441318HAN318-12764923,2024-05-27,"It is a huge opportunity, and it is one we should not miss.",EN,parliament
2600,montrealgazette_com_news_local-news_analysis-one-year-later-quebecs-anglophone-universities-still-seek-respect-from-caq_20241011_145333,2024-10-11,“We can’t have these policy shifts befall us without any prior warning or without any consultation.,EN,headlines
38142,441338HAN338-12860539,2024-09-18,Je côtoie Louis‑Philippe depuis de longues années; il tiendra parole.,FR,parliament
12398,ici_radio-canada_ca_nouvelle_2125556_regime-syrie-bachar-al-assad_20241209_113328,2024-12-09,"L’armée russe, elle, est complètement happée par la guerre de Vladimir Poutine en Ukraine et n’a tout simplement pas les moyens d’agir sur deux fronts.",FR,headlines
480,www_cbc_ca_news_canada_british-columbia_okanagan-wine-industry-2024-freeze-1_7419441_20241231_165355,2024-12-31,"""It was about ensuring the long-term health of your vineyard where your vineyard was still alive.",EN,headlines
1503,www_theglobeandmail_com_world_article-israelis-and-palestinians-mourn-oct-7-and-a-year-of-death-and__20241005_195352,2024-10-05,Another mourning banner hangs on another burned-out house across the street.,EN,headlines
4672,www_cbc_ca_news_canada_calgary_westjet-strike-continues-union-president-1_7251118_20240630_233441,2024-06-30,"She urged Ottawa on Sunday to ""make the expectation clear that work must continue throughout binding arbitration.""",EN,headlines
24874,441271HAN271-12538742,2024-01-30,"He went to Longueuil, Montreal and Quebec City to insult the mayors and demonstrate his total lack of knowledge of how the system works.",EN,parliament
14684,ici_radio-canada_ca_nouvelle_2133813_chrystia-freeland-lancement-campagne-chefferie-liberal_20250119_220358,2025-01-19,"À l'arrivée au pouvoir des libéraux, deux ans plus tard, elle s'est rapidement imposée comme une figure de proue du gouvernement Trudeau, d'abord comme ministre du Commerce international.",FR,headlines
11209,www_journaldemontreal_com_2025_01_16_le-combattant-darts-martiaux-conor-mcgregor-saffiche-avec-des-membres-en-regle-des-hells-angels-du-chapitre-de-quebec_20250116_204328,2025-01-16,"• À lire aussi: McGregor et le Heat de Miami poursuivis dans une affaire d’agression sexuelle • À lire aussi: Condamné pour viol, Conor McGregor devra payer les frais de justice de sa victime La vedette irlandaise, poursuivie cette semaine pour une histoire d’agression sexuelle survenue à Miami, a publié au cours des derniers jours sur ses réseaux sociaux plusieurs clichés où il prend la pose en compagnie de membres du groupe de motards criminalisés provenant de différents chapitres à travers le monde.",FR,headlines
635,www_theglobeandmail_com_canada_alberta_article-danielle-smith-doesnt-support-tariffs-alberta-oil-gas__20241213_024333,2024-12-13,Alberta Premier Danielle Smith said an export tax would be crushing and “a breaking point” for her province.,EN,headlines
1797,www_thestar_com_news_gta_toronto-s-most-flood-vulnerable-neighbourhood-continues-to-wait-for-change-after-another-deluge_article_bbaf7cfa-4514-11ef-9112-0b05bb639f78_html_20240721_171412,2024-07-21,When are you going to do something?’,EN,headlines
33647,441369HAN369-12987397,2024-11-08,Un nouveau monde est en train de naître.,FR,parliament
12807,ici_radio-canada_ca_nouvelle_2089132_une-course-perdue-davance-pour-les-democrates_20240718_133332,2024-07-18,"Nous ne savons pas qui sera le candidat démocrate à la vice-présidence, nous ne pouvons donc pas fixer une date avant leur convention.",FR,headlines
16985,www_tvanouvelles_ca_2024_08_07_attentat-terroriste-a-vienne-dejoue-pourquoi-letat-islamique-en-veut-il-a-taylor-swift_20240808_072328,2024-08-08,"Mais aussi au Royaume-Uni en 2017 alors qu’un attentat suicide imputé, encore une fois, à l’État islamique a enlevé la vie à 22 citoyens à la sortie d’un spectacle à Manchester.",FR,headlines
33305,441342HAN342-12875020,2024-09-24,"Pour accomplir de grandes choses, nous devons faire en sorte que les Canadiens soient au premier plan.",FR,parliament
